Days for shipping (real),Days for shipment (scheduled),Delivery Status,Customer Segment,Latitude,Longitude,Order City,order date (DateOrders),Order Item Id,Order Item Quantity,Order State,Order Status,shipping date (DateOrders),Shipping Mode,User ID,Admin Recomended Slots/Previous Optimized Delivered Slots,Parcel Delivered in This Slot,Machine Prediction
3.0,4.0,Advance shipping,Home Office,18.35124588,-65.96308899,Ajmer,3/18/2016 0:46,75669.0,3.0,Rajastan,PENDING,3/21/2016 0:46,Standard Class,24.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
3.0,4.0,Advance shipping,Home Office,18.35124588,-65.96308899,Ajmer,3/18/2016 0:46,75667.0,3.0,Rajastan,PENDING,3/21/2016 0:46,Standard Class,24.0,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
3.0,4.0,Advance shipping,Home Office,18.35124588,-65.96308899,Ajmer,3/18/2016 0:46,75668.0,5.0,Rajastan,PENDING,3/21/2016 0:46,Standard Class,24.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
6.0,2.0,Late delivery,Consumer,36.95009995,-76.24848938,Surat,12/14/2015 22:06,59650.0,1.0,Guyarat,PENDING,12/20/2015 22:06,Second Class,33.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
6.0,2.0,Late delivery,Consumer,36.95009995,-76.24848938,Surat,12/14/2015 22:06,59651.0,4.0,Guyarat,PENDING,12/20/2015 22:06,Second Class,33.0,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
6.0,4.0,Late delivery,Consumer,18.22408485,-66.04698181,Srinagar,01-02-2016 23:18,62993.0,1.0,Uttarakhand,PROCESSING,01-08-2016 23:18,Standard Class,39.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
6.0,4.0,Late delivery,Consumer,18.22408485,-66.04698181,Srinagar,01-02-2016 23:18,62994.0,1.0,Uttarakhand,PROCESSING,01-08-2016 23:18,Standard Class,39.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
6.0,4.0,Late delivery,Consumer,18.22408485,-66.04698181,Srinagar,01-02-2016 23:18,62995.0,1.0,Uttarakhand,PROCESSING,01-08-2016 23:18,Standard Class,39.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
6.0,4.0,Late delivery,Consumer,18.22408485,-66.04698181,Srinagar,01-02-2016 23:18,62992.0,3.0,Uttarakhand,PROCESSING,01-08-2016 23:18,Standard Class,39.0,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
2.0,1.0,Late delivery,Consumer,33.56687927,-117.7633209,Panihati,11/19/2015 0:36,55191.0,1.0,Bengala Occidental,CLOSED,11/21/2015 0:36,First Class,40.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
2.0,1.0,Late delivery,Consumer,33.56687927,-117.7633209,Panihati,11/19/2015 0:36,55190.0,1.0,Bengala Occidental,CLOSED,11/21/2015 0:36,First Class,40.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2.0,1.0,Late delivery,Consumer,33.56687927,-117.7633209,Panihati,11/19/2015 0:36,55189.0,2.0,Bengala Occidental,CLOSED,11/21/2015 0:36,First Class,40.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
5.0,4.0,Late delivery,Consumer,33.56687927,-117.7633209,Ulhasnagar,2/29/2016 14:49,72785.0,5.0,Maharashtra,ON_HOLD,03-05-2016 14:49,Standard Class,40.0,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
5.0,4.0,Late delivery,Consumer,33.56687927,-117.7633209,Ulhasnagar,2/29/2016 14:49,72784.0,5.0,Maharashtra,ON_HOLD,03-05-2016 14:49,Standard Class,40.0,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
2.0,1.0,Late delivery,Consumer,33.56687927,-117.7633209,Panihati,11/19/2015 0:36,55192.0,4.0,Bengala Occidental,CLOSED,11/21/2015 0:36,First Class,40.0,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
2.0,1.0,Late delivery,Consumer,33.56687927,-117.7633209,Panihati,11/19/2015 0:36,55193.0,1.0,Bengala Occidental,CLOSED,11/21/2015 0:36,First Class,40.0,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
2.0,4.0,Advance shipping,Corporate,18.27657318,-66.03531647,Hyderabad,2/18/2016 0:59,70791.0,1.0,Telangana,PENDING,2/20/2016 0:59,Standard Class,43.0,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
2.0,4.0,Advance shipping,Corporate,18.27657318,-66.03531647,Hyderabad,2/18/2016 0:59,70788.0,1.0,Telangana,PENDING,2/20/2016 0:59,Standard Class,43.0,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
2.0,4.0,Advance shipping,Corporate,18.27657318,-66.03531647,Hyderabad,2/18/2016 0:59,70789.0,3.0,Telangana,PENDING,2/20/2016 0:59,Standard Class,43.0,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
2.0,4.0,Advance shipping,Corporate,18.27657318,-66.03531647,Hyderabad,2/18/2016 0:59,70790.0,5.0,Telangana,PENDING,2/20/2016 0:59,Standard Class,43.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
2.0,4.0,Advance shipping,Corporate,18.27657318,-66.03531647,Hyderabad,2/18/2016 0:59,70792.0,1.0,Telangana,PENDING,2/20/2016 0:59,Standard Class,43.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
3.0,2.0,Late delivery,Corporate,38.30553055,-122.2734375,Raipur,03-04-2016 19:43,73504.0,1.0,Chhattisgarh,PENDING_PAYMENT,03-07-2016 19:43,Second Class,44.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
3.0,2.0,Late delivery,Corporate,38.30553055,-122.2734375,Raipur,03-04-2016 19:43,73503.0,2.0,Chhattisgarh,PENDING_PAYMENT,03-07-2016 19:43,Second Class,44.0,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
