Days for shipping (real),Days for shipment (scheduled),Delivery Status,Customer Segment,Latitude,Longitude,Order City,order date (DateOrders),Order Item Id,Order Item Quantity,Order State,shipping date (DateOrders),Shipping Mode,User ID,Admin Recomended Slots/Previous Optimized Delivered Slots,Parcel Delivered in This Slot,Machine Prediction
3,4,Advance shipping,Home Office,18.35124588,-65.96308899,Ajmer,3/18/2016 0:46,75669,3,Rajastan,3/21/2016 0:46,Standard Class,24,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
3,4,Advance shipping,Home Office,18.35124588,-65.96308899,Ajmer,3/18/2016 0:46,75667,3,Rajastan,3/21/2016 0:46,Standard Class,24,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
3,4,Advance shipping,Home Office,18.35124588,-65.96308899,Ajmer,3/18/2016 0:46,75668,5,Rajastan,3/21/2016 0:46,Standard Class,24,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
6,2,Late delivery,Consumer,36.95009995,-76.24848938,Surat,12/14/2015 22:06,59650,1,Guyarat,12/20/2015 22:06,Second Class,33,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
6,2,Late delivery,Consumer,36.95009995,-76.24848938,Surat,12/14/2015 22:06,59651,4,Guyarat,12/20/2015 22:06,Second Class,33,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
6,4,Late delivery,Consumer,18.22408485,-66.04698181,Srinagar,2/1/2016 23:18,62993,1,Uttarakhand,8/1/2016 23:18,Standard Class,39,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
6,4,Late delivery,Consumer,18.22408485,-66.04698181,Srinagar,2/1/2016 23:18,62994,1,Uttarakhand,8/1/2016 23:18,Standard Class,39,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
6,4,Late delivery,Consumer,18.22408485,-66.04698181,Srinagar,2/1/2016 23:18,62995,1,Uttarakhand,8/1/2016 23:18,Standard Class,39,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
6,4,Late delivery,Consumer,18.22408485,-66.04698181,Srinagar,2/1/2016 23:18,62992,3,Uttarakhand,8/1/2016 23:18,Standard Class,39,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
2,1,Late delivery,Consumer,33.56687927,-117.7633209,Panihati,11/19/2015 0:36,55191,1,Bengala Occidental,11/21/2015 0:36,First Class,40,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
2,1,Late delivery,Consumer,33.56687927,-117.7633209,Panihati,11/19/2015 0:36,55190,1,Bengala Occidental,11/21/2015 0:36,First Class,40,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2,1,Late delivery,Consumer,33.56687927,-117.7633209,Panihati,11/19/2015 0:36,55189,2,Bengala Occidental,11/21/2015 0:36,First Class,40,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
5,4,Late delivery,Consumer,33.56687927,-117.7633209,Ulhasnagar,2/29/2016 14:49,72785,5,Maharashtra,5/3/2016 14:49,Standard Class,40,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
5,4,Late delivery,Consumer,33.56687927,-117.7633209,Ulhasnagar,2/29/2016 14:49,72784,5,Maharashtra,5/3/2016 14:49,Standard Class,40,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
2,1,Late delivery,Consumer,33.56687927,-117.7633209,Panihati,11/19/2015 0:36,55192,4,Bengala Occidental,11/21/2015 0:36,First Class,40,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
2,1,Late delivery,Consumer,33.56687927,-117.7633209,Panihati,11/19/2015 0:36,55193,1,Bengala Occidental,11/21/2015 0:36,First Class,40,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
2,4,Advance shipping,Corporate,18.27657318,-66.03531647,Hyderabad,2/18/2016 0:59,70791,1,Telangana,2/20/2016 0:59,Standard Class,43,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
2,4,Advance shipping,Corporate,18.27657318,-66.03531647,Hyderabad,2/18/2016 0:59,70788,1,Telangana,2/20/2016 0:59,Standard Class,43,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
2,4,Advance shipping,Corporate,18.27657318,-66.03531647,Hyderabad,2/18/2016 0:59,70789,3,Telangana,2/20/2016 0:59,Standard Class,43,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
